"Type","Location","Name","Node ID","Variable","Model","Filename","Extraction Template","PATHREPL","NODEREPL","VARREPL","TYPEREPL","Final"
"IrrigDemand",NA,"Ag Ditch Irrigators","0700502_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700502_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700502_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700502_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700502_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700502_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700502_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700502_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700502_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Slough Ditches","0700527_D","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700527_D.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700527_D_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700527_D.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700527_D_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700527_D.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700527_D_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700527_D.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700527_D_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Church Ditch Irrigators","0700540_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700540_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700540_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700540_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700540_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700540_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700540_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700540_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700540_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Lower Clear Ck D Irrigat","0700547_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700547_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700547_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700547_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700547_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700547_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700547_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700547_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700547_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Colorado Ag Ditch Irriga","0700549_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700549_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700549_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700549_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700549_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700549_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700549_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700549_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700549_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"FHL Canal Irrigators","0700569_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700569_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700569_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700569_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700569_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700569_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700569_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700569_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700569_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Fisher Ditch Irrigators","0700570_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700570_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700570_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700570_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700570_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700570_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700570_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700570_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700570_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Kerhaw Ditch Irrigators","0700597_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700597_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700597_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700597_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700597_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700597_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700597_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700597_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700597_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Lee Stewart Eskins Irrig","0700601_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700601_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700601_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700601_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700601_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700601_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700601_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700601_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700601_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"MANHART DITCH","0700614","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700614.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700614_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700614.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700614_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700614.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700614_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700614.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700614_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"RENO JUCHEM DITCH","0700647","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700647.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700647_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700647.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700647_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700647.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700647_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700647.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700647_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Rocky Mtn Ditch Irrigato","0700652_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700652_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700652_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700652_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700652_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700652_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700652_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700652_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700652_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"Wannamaker Irrigators","0700698_I","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700698_I.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700698_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700698_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700698_I_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700698_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700698_I_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700698_I.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700698_I_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"WELCH DITCH","0700699","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700699.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700699_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700699.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700699_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700699.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700699_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""0700699.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""0700699_IrrigDemand"",IfNotFound=Warn)"
"IrrigDemand",NA,"WD7 Agg SW Irrig","07_ADP001","Total_Demand",NA,"D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~PATHREPL"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""NODEREPL.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""NODEREPL_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""07_ADP001.StateMod.VARREPL.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""07_ADP001_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""07_ADP001.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""07_ADP001_TYPEREPL"",IfNotFound=Warn)","ReadTimeSeries(TSID=""07_ADP001.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""07_ADP001_IrrigDemand"",IfNotFound=Warn)","ReadTimeSeries(TSID=""07_ADP001.StateMod.Total_Demand.Month~StateModB~D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"",Alias=""07_ADP001_IrrigDemand"",IfNotFound=Warn)"
