"Date","32_AGG_IrrigDemand","32_AGG_IrrigSupply","32_AGG_IrrigShortage","32_AGG_IrrigSupDirectFlow","32_AGG_MunDemand","32_AGG_MunSupply","32_AGG_MunShortage","32_ADS015_IrrigDemand","32_ADS016_IrrigDemand","32_ADS015_IrrigSupply","32_ADS016_IrrigSupply","32_ADS015_IrrigShortage","32_ADS016_IrrigShortage","32_ADS015_IrrigSupDirectFlow","32_ADS016_IrrigSupDirectFlow","3202001_MunDemand","3202001_MunSupply","3202001_MunShortage","3200680_MunDemand","3200680_MunSupply","3200680_MunShortage"
"1970-10",475,475,0,475,322,322,0,185,290,185,290,0,0,185,290,91,91,0,231,231,0
"1970-11",25,25,0,25,227,227,0,0,25,0,25,0,0,0,25,82,82,0,145,145,0
"1970-12",21,21,0,21,230,230,0,0,21,0,21,0,0,0,21,84,84,0,146,146,0
"1971-01",26,26,0,26,231,231,0,0,26,0,26,0,0,0,26,83,83,0,148,148,0
"1971-02",24,24,0,24,214,214,0,0,24,0,24,0,0,0,24,73,73,0,141,141,0
"1971-03",42,42,0,42,241,241,0,5,37,5,37,0,0,5,37,82,82,0,159,159,0
"1971-04",491,491.02,0,491,285,285,0,237,254,237.02,254,0,0,237,254,86,86,0,199,199,0
"1971-05",2269,2268.9999,1e-04,2268.9999,441,441,0,1084,1185,1083.9999,1185,1e-04,0,1083.9999,1185,117,117,0,324,324,0
"1971-06",3548,3547.9999,1e-04,3547.9999,599,599,0,1611,1937,1610.9999,1937,1e-04,0,1610.9999,1937,142,142,0,457,457,0
"1971-07",3567.9999,3567.9998,1e-04,3567.9998,617,617,0,1813,1754.9999,1812.9999,1754.9999,1e-04,0,1812.9999,1754.9999,145,145,0,472,472,0
"1971-08",2560,2560,0,2560,549,549,0,1362,1198,1362,1198,0,0,1362,1198,135,135,0,414,414,0
"1971-09",1920,1919.9999,1e-04,1919.9999,420,420,0,913,1007,912.9999,1007,1e-04,0,912.9999,1007,111,111,0,309,309,0
"1971-10",593,593,0,593,322,322,0,303,290,303,290,0,0,303,290,91,91,0,231,231,0
"1971-11",66,66,0,66,227,227,0,13,53,13,53,0,0,13,53,82,82,0,145,145,0
"1971-12",62,62,0,62,230,230,0,17,45,17,45,0,0,17,45,84,84,0,146,146,0
"1972-01",75,75,0,75,231,231,0,25,50,25,50,0,0,25,50,83,83,0,148,148,0
"1972-02",63,63,0,63,214,214,0,17,46,17,46,0,0,17,46,73,73,0,141,141,0
"1972-03",463,463,0,463,241,241,0,113,350,113,350,0,0,113,350,82,82,0,159,159,0
"1972-04",874,874,0,874,285,285,0,418,456,418,456,0,0,418,456,86,86,0,199,199,0
"1972-05",2681.9999,2681.9999,0,2681.9999,441,441,0,1296.9999,1385,1296.9999,1385,0,0,1296.9999,1385,117,117,0,324,324,0
"1972-06",3113,3113,1e-04,3113,599,599,0,1427,1686,1426.9999,1686.0001,1e-04,0,1426.9999,1686.0001,142,142,0,457,457,0
"1972-07",3410,2649.7669,760.2331,2216.8845,617,617,0,1760,1650,999.7669,1650,760.2331,0,566.8845,1650,145,145,0,472,472,0
"1972-08",3165.0001,1455.5849,1709.4151,1354.2211,549,549,0,1579,1586.0001,448.8067,1006.7782,1130.1932,579.2219,401.5199,952.7012,135,135,0,414,414,0
"1972-09",1723.9999,1309.5676,414.4323,1309.5676,420,420,0,803,920.9999,388.5677,920.9999,414.4323,0,388.5677,920.9999,111,111,0,309,309,0
"1972-10",310,310,0,310,322,322,0,121,189,121,189,0,0,121,189,91,91,0,231,231,0
"1972-11",85,85,0,85,227,227,0,30,55,30,55,0,0,30,55,82,82,0,145,145,0
"1972-12",56,56,0,56,230,230,0,25,31,25,31,0,0,25,31,84,84,0,146,146,0
"1973-01",25,25,0,25,231,231,0,0,25,0,25,0,0,0,25,83,83,0,148,148,0
"1973-02",37,37,0,37,214,214,0,15,22,15,22,0,0,15,22,73,73,0,141,141,0
"1973-03",72,72,0,72,241,241,0,43,29,43,29,0,0,43,29,82,82,0,159,159,0
"1973-04",152,152.1148,0,152,285,285,0,80,72,80,72.1148,0,0,80,72,86,86,0,199,199,0
"1973-05",930,930,0,930,441,441,0,450,480,450,480,0,0,450,480,117,117,0,324,324,0
"1973-06",2821.0001,2821.0001,0,2821.0001,599,599,0,1319,1502.0001,1319,1502.0001,0,0,1319,1502.0001,142,142,0,457,457,0
"1973-07",3779.0001,3778.9999,2e-04,3778.9999,617,617,0,1974.0001,1805,1973.9999,1805,2e-04,0,1973.9999,1805,145,145,0,472,472,0
"1973-08",2983,2982.9999,1e-04,2982.9999,549,549,0,1461,1522,1460.9999,1522,1e-04,0,1460.9999,1522,135,135,0,414,414,0
"1973-09",1631.9999,1631.9999,0,1631.9999,420,420,0,759.9999,872,759.9999,872,0,0,759.9999,872,111,111,0,309,309,0
"1973-10",1155,1155,0,1155,322,322,0,482,673,482,673,0,0,482,673,91,91,0,231,231,0
"1973-11",41,41,0,41,227,227,0,18,23,18,23,0,0,18,23,82,82,0,145,145,0
"1973-12",18,18,0,18,230,230,0,9,9,9,9,0,0,9,9,84,84,0,146,146,0
"1974-01",0,0,0,0,231,231,0,0,0,0,0,0,0,0,0,83,83,0,148,148,0
"1974-02",8,8,0,8,214,214,0,0,8,0,8,0,0,0,8,73,73,0,141,141,0
"1974-03",41,41,0,41,241,241,0,18,23,18,23,0,0,18,23,82,82,0,159,159,0
"1974-04",361,361.0582,0,361,285,285,0,187,174,187.02,174.0382,0,0,187,174,86,86,0,199,199,0
"1974-05",3032,3031.9999,1e-04,3031.9999,441,441,0,1292,1740,1291.9999,1740,1e-04,0,1291.9999,1740,117,117,0,324,324,0
"1974-06",3356,3356.0001,0,3356.0001,599,599,0,1654,1702,1654,1702.0001,0,0,1654,1702.0001,142,142,0,457,457,0
"1974-07",2857,2857.0001,0,2857.0001,617,617,0,1443,1414,1443.0001,1414,0,0,1443.0001,1414,145,145,0,472,472,0
"1974-08",3191,3191,0,3191,549,549,0,1574,1617,1574,1617,0,0,1574,1617,135,135,0,414,414,0
"1974-09",2189,1704.7411,484.2589,1557.5677,420,420,0,1020,1169,535.7411,1169,484.2589,0,388.5677,1169,111,111,0,309,309,0
"1974-10",308,308,0,308,322,322,0,103,205,103,205,0,0,103,205,91,91,0,231,231,0
"1974-11",126,126,0,126,227,227,0,77,49,77,49,0,0,77,49,82,82,0,145,145,0
"1974-12",115,115,0,115,230,230,0,66,49,66,49,0,0,66,49,84,84,0,146,146,0
"1975-01",111,111,0,111,231,231,0,62,49,62,49,0,0,62,49,83,83,0,148,148,0
"1975-02",111,111,0,111,214,214,0,67,44,67,44,0,0,67,44,73,73,0,141,141,0
"1975-03",123,123,0,123,241,241,0,74,49,74,49,0,0,74,49,82,82,0,159,159,0
"1975-04",134,134,0,134,285,285,0,74,60,74,60,0,0,74,60,86,86,0,199,199,0
"1975-05",1309,1308.9999,1e-04,1308.9999,441,441,0,623,686,623,685.9999,0,1e-04,623,685.9999,117,117,0,324,324,0
"1975-06",3555.9999,3555.9998,1e-04,3555.9998,599,599,0,1654.9999,1901,1654.9998,1901,1e-04,0,1654.9998,1901,142,142,0,457,457,0
"1975-07",3823,3823,1e-04,3823,617,617,0,1939,1884,1938.9999,1884.0001,1e-04,0,1938.9999,1884.0001,145,145,0,472,472,0
"1975-08",3060.9999,3060.9998,1e-04,3060.9998,549,549,0,1490.9999,1570,1490.9998,1570,1e-04,0,1490.9998,1570,135,135,0,414,414,0
